m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
260.992,,18.41,0.73,,,,,,,,,,
261.1464,,4.31,0.17,,,,,,,,,,
262.1356,,4.75,0.19,,,,,,,,,,
269.9962,,6.14,0.24,,,,,,,,,,
270.9783,,29.93,1.18,,,,,,,,,,
272.9557,,82.36,3.25,1,,,,,,,,,
273.9603,,4.55,0.18,1,,,,,,,,,
290.9661,,25.95,1.02,,,,,,,,,,
328.0428,,156.62,6.18,1,,,,,,,,,
329.0456,,6.45,0.25,1,,,,,,,,,
339.0749,,5.47,0.22,,,,,,,,,,
344.1792,,4.58,0.18,,,,,,,,,,
346.0537,,31.8,1.25,,,,,,,,,,
352.0083,,6,0.24,,,,,,,,,,
352.9191,,16.84,0.66,,,,,,,,,,
357.0849,,9.01,0.36,,,,,,,,,,
358.9009,,7.56,0.3,,,,,,,,,,
365.2757,,4.31,0.17,,,,,,,,,,
367.0477,,4.56,0.18,,,,,,,,,,
370.1977,,16.08,0.63,,,,,,,,,,
372.9004,,5.64,0.22,,,,,,,,,,
381.0872,,141.99,5.6,1,,,,,,,,,
382.0824,,4.86,0.19,1,,,,,,,,,
384.8221,,4.73,0.19,,,,,,,,,,
389.9984,,4.88,0.19,,,,,,,,,,
399.0995,,46.85,1.85,1,,,,,,,,,
400.1033,,4.69,0.18,1,,,,,,,,,
403.0675,,4.04,0.16,,,,,,,,,,
403.8266,,15.95,0.63,,,,,,,,,,
408.0094,,1241.63,48.97,1,,,,,,,,,
409.0117,,23.41,0.92,1,,,,,,,,,
414.4979,,4.91,0.19,,,,,,,,,,
426.0203,,1028.48,40.56,1,,,,,,,,,
426.1159,,5.2,0.2,,,,,,,,,,
427.0184,,13.3,0.52,1,,,,,,,,,
442.2249,,10.7,0.42,,,,,,,,,,
443.0451,,23.87,0.94,,,,,,,,,,
461.0534,,769.46,30.35,1,,,,,,,,,
461.129,,5.68,0.22,,,,,,,,,,
461.3831,,4.31,0.17,,,,,,,,,,
462.0564,,32.63,1.29,1,,,,,,,,,
469.9719,,6.62,0.26,,,,,,,,,,
479.0646,,317.21,12.51,1,,,,,,,,,
480.0711,,4.55,0.18,1,,,,,,,,,
487.975,,82.57,3.26,,,,,,,,,,
505.9881,,36.08,1.42,,,,,,,,,,
510.0768,,37.73,1.49,,,,,,,,,,
541.0192,,31.35,1.24,,,,,,,,,,
575.0784,,20.92,0.83,1,,,,,,,,,
576.0871,,5.3,0.21,1,,,,,,,,,
590.0291,,10.03,0.4,,,,,,,,,,
595.7522,,4.18,0.16,,,,,,,,,,
618.0393,,38.92,1.53,,,,,,,,,,
652.4017,,4.65,0.18,,,,,,,,,,
655.0516,,13.99,0.55,,,,,,,,,,
655.978,,4.48,0.18,,,,,,,,,,
673.0621,,134.39,5.3,1,,,,,,,,,
674.0527,,5.64,0.22,1,,,,,,,,,
710.1407,,78.83,3.11,1,,,,,,,,,
711.1432,,5.04,0.2,1,,,,,,,,,
728.1492,,463.66,18.29,1,,,,,,,,,
729.1487,,17.63,0.7,1,,,,,,,,,
766.0998,,4.69,0.18,,,,,,,,,,
790.1035,,92.82,3.66,,,,,,,,,,
805.5337,,5.66,0.22,,,,,,,,,,
808.1155,,2535.48,100,,,,,,,,,,
808.2532,,12.39,0.49,2,,,,,,,,,
808.3307,,4.23,0.17,2,,,,,,,,,
808.5013,,9.9,0.39,,,,,,,,,,
808.5601,,4.35,0.17,,,,,,,,,,
808.7313,,4.01,0.16,2,,,,,,,,,
808.8231,,4.73,0.19,2,,,,,,,,,
809.1173,,88.68,3.5,,,,,,,,,,
809.2128,,5.19,0.2,2,,,,,,,,,
817.2864,,5.2,0.21,,,,,,,,,,
820.0975,,8.59,0.34,,,,,,,,,,
1006.6166,,5.28,0.21,,,,,,,,,,
1082.2395,,5.85,0.23,,,,,,,,,,
1153.4713,,10,0.39,,,,,,,,,,
1178.1448,,9.58,0.38,,,,,,,,,,
1215.2419,,6.26,0.25,,,,,,,,,,
1259.0643,,4.07,0.16,,,,,,,,,,
1301.2455,,7.77,0.31,,,,,,,,,,
