m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
101.0239,,4.84,0.09,,,,,,,,,,
102.0098,,2.22,0.04,,,,,,,,,,
102.2176,,2.25,0.04,,,,,,,,,,
102.8583,,3.52,0.07,,,,,,,,,,
102.9491,,2.83,0.05,,,,,,,,,,
103.0396,,187.99,3.47,,,,,,,,,,
104.9938,,2.17,0.04,,,,,,,,,,
108.0229,,2.95,0.05,,,,,,,,,,
108.9679,,4.12,0.08,,,,,,,,,,
111.0084,,5416.31,100,,,,,,,,,,
111.0473,,4.72,0.09,,,,,,,,,,
111.0606,,7.25,0.13,,,,,,,,,,
111.1254,,5.76,0.11,,,,,,,,,,
111.1352,,5.92,0.11,,,,,,,,,,
111.1908,,2.76,0.05,,,,,,,,,,
111.2555,,3.21,0.06,,,,,,,,,,
111.2895,,2.51,0.05,,,,,,,,,,
111.9986,,2.7,0.05,,,,,,,,,,
112.0107,,12.16,0.22,,,,,,,,,,
112.059,,3.06,0.06,,,,,,,,,,
113.1982,,2.14,0.04,,,,,,,,,,
115.039,,15.84,0.29,,,,,,,,,,
119.0506,,2.69,0.05,,,,,,,,,,
120.0196,,2.57,0.05,,,,,,,,,,
121.0741,,2.36,0.04,,,,,,,,,,
126.8024,,2.43,0.04,,,,,,,,,,
129.018,,31.28,0.58,,,,,,,,,,
129.0233,,4.99,0.09,,,,,,,,,,
133.0416,,3.95,0.07,,,,,,,,,,
133.8338,,2.98,0.05,,,,,,,,,,
134.6207,,3.84,0.07,2,,,,,,,,,
135.045,,3.5,0.06,,,,,,,,,,
146.6993,,2.53,0.05,2,,,,,,,,,
147.0061,,2.82,0.05,,,,,,,,,,
147.0516,,6.1,0.11,,,,,,,,,,
148.0732,,3,0.06,,,,,,,,,,
151.0192,,2.75,0.05,,,,,,,,,,
159.3037,,3.28,0.06,2,,,,,,,,,
160.097,,2.57,0.05,,,,,,,,,,
161.1085,,2.93,0.05,,,,,,,,,,
173.8973,,2.65,0.05,,,,,,,,,,
175.1215,,2.64,0.05,,,,,,,,,,
176.0715,,4.46,0.08,,,,,,,,,,
176.4433,,4.32,0.08,2,,,,,,,,,
182.5378,,2.6,0.05,2,,,,,,,,,
183.4336,,2.45,0.05,2,,,,,,,,,
188.7871,,3.08,0.06,,,,,,,,,,
191.1195,,3.41,0.06,,,,,,,,,,
197.4535,,2.51,0.05,2,,,,,,,,,
211.1507,,2.24,0.04,,,,,,,,,,
219.133,,2.47,0.05,,,,,,,,,,
237.8129,,2.38,0.04,,,,,,,,,,
247.7923,,2.51,0.05,,,,,,,,,,
252.6094,,2.56,0.05,2,,,,,,,,,
255.9562,,2.51,0.05,,,,,,,,,,
268.6543,,4.12,0.08,2,,,,,,,,,
273.5385,,2.51,0.05,2,,,,,,,,,
274.5263,,2.87,0.05,2,,,,,,,,,
312.0398,,2.22,0.04,,,,,,,,,,
316.6308,,3.32,0.06,2,,,,,,,,,
355.9386,,2.58,0.05,,,,,,,,,,
364.7024,,2.35,0.04,,,,,,,,,,
401.8609,,4.16,0.08,,,,,,,,,,
420.8994,,5.79,0.11,,,,,,,,,,
421.6471,,2.13,0.04,,,,,,,,,,
469.3115,,8.03,0.15,,,,,,,,,,
479.9338,,4.32,0.08,,,,,,,,,,
505.3441,,2.18,0.04,,,,,,,,,,
536.7509,,2.19,0.04,,,,,,,,,,
542.5124,,2.7,0.05,,,,,,,,,,
574.6119,,2.77,0.05,,,,,,,,,,
576.0353,,4.61,0.09,,,,,,,,,,
596.6944,,4.17,0.08,,,,,,,,,,
597.5126,,4.06,0.08,,,,,,,,,,
631.8814,,2.46,0.05,,,,,,,,,,
684.3977,,2.77,0.05,,,,,,,,,,
771.4064,,2.73,0.05,,,,,,,,,,
784.3697,,2.57,0.05,,,,,,,,,,
792.4405,,3.21,0.06,,,,,,,,,,
795.4496,,2.67,0.05,,,,,,,,,,
814.3133,,2.6,0.05,,,,,,,,,,
827.4548,,3,0.06,,,,,,,,,,
859.8007,,2.6,0.05,,,,,,,,,,
864.2261,,4.21,0.08,,,,,,,,,,
880.099,,3.45,0.06,,,,,,,,,,
891.7241,,2.93,0.05,,,,,,,,,,
892.1055,,2.44,0.05,,,,,,,,,,
904.4346,,2.25,0.04,,,,,,,,,,
980.5804,,2.36,0.04,,,,,,,,,,
981.5326,,4.31,0.08,,,,,,,,,,
1019.588,,2.62,0.05,,,,,,,,,,
1052.7081,,2.34,0.04,,,,,,,,,,
1084.3988,,3.03,0.06,,,,,,,,,,
1093.56,,2.35,0.04,,,,,,,,,,
1119.0662,,4.02,0.07,,,,,,,,,,
1163.7262,,2.49,0.05,,,,,,,,,,
1257.8496,,3.47,0.06,,,,,,,,,,
1287.6605,,4.49,0.08,,,,,,,,,,
1332.7562,,2.47,0.05,,,,,,,,,,
1679.2961,,2.51,0.05,,,,,,,,,,
