m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
101.198,,15.12,62.96,,,,,,,,,,
112.8024,,7.76,32.29,,,,,,,,,,
113.0608,,4.11,17.11,,,,,,,,,,
129.8877,,3.87,16.11,,,,,,,,,,
130.4199,,13.03,54.25,2,,,,,,,,,
132.5147,,3.67,15.29,2,,,,,,,,,
135.9466,,4,16.65,,,,,,,,,,
137.0209,,5.6,23.32,,,,,,,,,,
141.4666,,3.29,13.7,2,,,,,,,,,
147.9788,,4.75,19.78,,,,,,,,,,
152.9449,,4.42,18.4,,,,,,,,,,
156.0034,,6.7,27.88,,,,,,,,,,
159.9863,,3.67,15.28,,,,,,,,,,
168.4981,,10.75,44.77,2,,,,,,,,,
188.8256,,11.5,47.89,,,,,,,,,,
205.8313,,18.55,77.21,,,,,,,,,,
210.5924,,4.93,20.52,2,,,,,,,,,
226.0921,,8.91,37.09,,,,,,,,,,
230.4411,,5.74,23.88,2,,,,,,,,,
233.6378,,10,41.64,2,,,,,,,,,
236.4944,,4.87,20.28,2,,,,,,,,,
250.6953,,4.36,18.16,2,,,,,,,,,
254.4689,,7.76,32.31,2,,,,,,,,,
255.5402,,3.7,15.4,2,,,,,,,,,
259.8653,,4.39,18.27,,,,,,,,,,
262.4657,,4.84,20.14,2,,,,,,,,,
262.5052,,4.28,17.83,2,,,,,,,,,
281.4215,,4,16.67,2,,,,,,,,,
281.474,,4.78,19.9,2,,,,,,,,,
302.9434,,14.26,59.37,,,,,,,,,,
316.0218,,6.91,28.77,,,,,,,,,,
340.0294,,9.6,39.98,,,,,,,,,,
371.763,,3.56,14.83,,,,,,,,,,
380.0359,,3.31,13.78,,,,,,,,,,
394.827,,13.5,56.21,,,,,,,,,,
412.144,,7.32,30.48,,,,,,,,,,
427.3912,,4.03,16.76,,,,,,,,,,
434.0573,,3.81,15.85,,,,,,,,,,
447.1864,,13.95,58.08,,,,,,,,,,
454.7772,,4.25,17.7,,,,,,,,,,
466.5916,,3.5,14.57,,,,,,,,,,
468.9443,,4.03,16.77,,,,,,,,,,
476.436,,5.52,22.99,,,,,,,,,,
501.5088,,7.48,31.13,,,,,,,,,,
516.3038,,4.53,18.85,,,,,,,,,,
532.0162,,10.02,41.73,,,,,,,,,,
554.557,,5.78,24.06,,,,,,,,,,
557.7454,,3.58,14.91,,,,,,,,,,
576.5444,,4.5,18.74,,,,,,,,,,
607.7273,,5.2,21.63,,,,,,,,,,
645.4292,,4.17,17.36,,,,,,,,,,
668.5459,,4.18,17.4,,,,,,,,,,
669.9761,,3.39,14.13,,,,,,,,,,
675.0537,,17.5,72.86,,,,,,,,,,
686.2282,,3.82,15.89,,,,,,,,,,
712.2007,,7.09,29.52,,,,,,,,,,
718.9782,,3.3,13.72,,,,,,,,,,
733.0157,,5.74,23.88,,,,,,,,,,
744.7495,,11.9,49.56,,,,,,,,,,
769.0808,,11.5,47.88,,,,,,,,,,
784.0903,,4.33,18.05,,,,,,,,,,
784.1642,,4.94,20.56,,,,,,,,,,
818.1289,,5.38,22.38,,,,,,,,,,
836.1188,,4,16.66,,,,,,,,,,
847.581,,4.27,17.76,,,,,,,,,,
851.8729,,4.65,19.36,,,,,,,,,,
859.7861,,5.33,22.2,,,,,,,,,,
875.6088,,5.04,20.96,,,,,,,,,,
923.4206,,3.56,14.82,,,,,,,,,,
1020.9886,,5.57,23.17,,,,,,,,,,
1021.9229,,3.5,14.57,,,,,,,,,,
1053.3494,,4.02,16.74,,,,,,,,,,
1056.6954,,4.14,17.24,,,,,,,,,,
1072.5778,,3.76,15.66,,,,,,,,,,
1118.3735,,6.03,25.08,,,,,,,,,,
1128.2308,,4.75,19.78,,,,,,,,,,
1135.9504,,14.9,62.04,,,,,,,,,,
1159.8833,,24.02,100,,,,,,,,,,
1188.0792,,6.27,26.08,,,,,,,,,,
1203.0214,,4.73,19.69,,,,,,,,,,
1215.6852,,10.52,43.78,,,,,,,,,,
1219.1368,,4.29,17.88,,,,,,,,,,
1222.1518,,4.99,20.75,,,,,,,,,,
1268.5927,,8.56,35.65,,,,,,,,,,
1295.298,,4.75,19.78,,,,,,,,,,
1302.3602,,5.26,21.89,,,,,,,,,,
1343.4897,,5.21,21.7,,,,,,,,,,
1354.6765,,4.08,17,,,,,,,,,,
1354.9206,,15.29,63.67,,,,,,,,,,
1387.6835,,3.52,14.66,,,,,,,,,,
1409.4913,,3.98,16.57,,,,,,,,,,
1427.4848,,4.36,18.15,,,,,,,,,,
1436.5467,,3.8,15.81,,,,,,,,,,
1460.7775,,4.61,19.2,,,,,,,,,,
1486.9533,,5.32,22.13,,,,,,,,,,
1492.2245,,4.5,18.73,,,,,,,,,,
1492.3342,,5.87,24.45,,,,,,,,,,
1515.611,,4.04,16.83,,,,,,,,,,
1524.2753,,3.34,13.92,,,,,,,,,,
1694.3746,,7.21,30.02,,,,,,,,,,
