m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
103.0196,,2.3,16.31,,,,,,,,,,
106.0407,,2.36,16.78,,,,,,,,,,
106.3408,,3.7,26.26,2,,,,,,,,,
107.0364,,6.09,43.28,,,,,,,,,,
116.948,,3.61,25.66,,,,,,,,,,
116.9948,,5.5,39.09,,,,,,,,,,
117.6855,,2.73,19.39,2,,,,,,,,,
120.0569,,3.4,24.16,,,,,,,,,,
121.0683,,6.35,45.12,,,,,,,,,,
122.0537,,3.68,26.11,,,,,,,,,,
122.0612,,2.33,16.56,,,,,,,,,,
122.0844,,2.61,18.53,,,,,,,,,,
123.0911,,2.28,16.19,,,,,,,,,,
128.9944,,4.55,32.36,,,,,,,,,,
131.0108,,4.09,29.05,,,,,,,,,,
135.0434,,3.26,23.15,,,,,,,,,,
135.0541,,3.65,25.96,,,,,,,,,,
138.9981,,9.25,65.75,,,,,,,,,,
142.2339,,7.15,50.83,,,,,,,,,,
145.8894,,14.07,100,,,,,,,,,,
149.0586,,7.1,50.47,,,,,,,,,,
150.2459,,3.4,24.14,,,,,,,,,,
155.5528,,2.84,20.18,2,,,,,,,,,
161.0613,,3.13,22.23,,,,,,,,,,
161.1629,,2.16,15.37,,,,,,,,,,
164.186,,2.88,20.43,,,,,,,,,,
177.1006,,2.99,21.24,,,,,,,,,,
179.1181,,1.84,13.08,,,,,,,,,,
198.2278,,3.64,25.88,,,,,,,,,,
199.4097,,6.5,46.17,2,,,,,,,,,
211.9963,,3.5,24.88,,,,,,,,,,
219.9088,,1.83,12.98,,,,,,,,,,
221.7464,,3.19,22.7,2,,,,,,,,,
224.7874,,2.13,15.12,,,,,,,,,,
245.4585,,1.72,12.19,2,,,,,,,,,
247.119,,1.79,12.74,,,,,,,,,,
287.8572,,2.66,18.87,,,,,,,,,,
297.4517,,5.64,40.09,2,,,,,,,,,
315.2195,,2.77,19.71,,,,,,,,,,
328.1347,,2.8,19.91,,,,,,,,,,
331.0747,,1.73,12.31,,,,,,,,,,
343.9726,,3.34,23.73,,,,,,,,,,
349.0838,,2.21,15.72,,,,,,,,,,
387.3415,,1.88,13.33,,,,,,,,,,
398.4352,,1.89,13.46,,,,,,,,,,
409.996,,2.32,16.52,,,,,,,,,,
411.5042,,2.35,16.67,2,,,,,,,,,
416.3727,,4.31,30.65,,,,,,,,,,
423.6698,,1.84,13.06,,,,,,,,,,
436.3008,,1.73,12.32,,,,,,,,,,
439.6042,,1.79,12.69,,,,,,,,,,
454.9818,,3.25,23.11,,,,,,,,,,
464.1895,,4.13,29.33,,,,,,,,,,
477.314,,1.88,13.35,,,,,,,,,,
491.3468,,1.75,12.46,,,,,,,,,,
496.8047,,1.78,12.68,,,,,,,,,,
498.5343,,1.8,12.78,,,,,,,,,,
543.3658,,3.63,25.83,,,,,,,,,,
557.5949,,4.04,28.71,,,,,,,,,,
600.8814,,4.17,29.65,,,,,,,,,,
615.1136,,1.84,13.09,,,,,,,,,,
622.2768,,1.81,12.83,,,,,,,,,,
641.297,,1.76,12.47,,,,,,,,,,
642.3887,,2.07,14.71,,,,,,,,,,
665.0611,,4.95,35.18,,,,,,,,,,
668.0029,,3.03,21.51,,,,,,,,,,
670.4407,,2.02,14.36,,,,,,,,,,
695.1154,,2.52,17.92,,,,,,,,,,
723.1418,,1.95,13.86,,,,,,,,,,
729.2239,,1.87,13.26,,,,,,,,,,
751.9923,,3.68,26.14,,,,,,,,,,
777.1589,,2.25,16.02,,,,,,,,,,
798.3337,,2.51,17.83,,,,,,,,,,
807.0601,,1.94,13.81,,,,,,,,,,
832.2656,,4.41,31.3,,,,,,,,,,
833.9223,,2.14,15.2,,,,,,,,,,
847.4478,,1.76,12.48,,,,,,,,,,
857.292,,1.82,12.94,,,,,,,,,,
870.1282,,1.78,12.63,,,,,,,,,,
935.257,,2.87,20.42,,,,,,,,,,
969.1076,,1.88,13.37,,,,,,,,,,
980.9889,,1.97,14.02,,,,,,,,,,
991.5076,,6.92,49.13,,,,,,,,,,
1148.2725,,3.78,26.83,,,,,,,,,,
1172.7078,,1.87,13.28,,,,,,,,,,
1188.7299,,2.03,14.45,,,,,,,,,,
1235.0178,,4.43,31.45,,,,,,,,,,
1278.049,,2.82,20.03,,,,,,,,,,
1298.4532,,2.14,15.23,,,,,,,,,,
1332.4893,,2.66,18.9,,,,,,,,,,
1344.7926,,2.13,15.12,,,,,,,,,,
1366.7563,,2.03,14.41,,,,,,,,,,
1431.3764,,1.82,12.9,,,,,,,,,,
1501.0997,,2.3,16.34,,,,,,,,,,
1520.5725,,2.73,19.39,,,,,,,,,,
1557.2867,,1.89,13.4,,,,,,,,,,
1604.0475,,2.21,15.67,,,,,,,,,,
1627.0161,,1.71,12.15,,,,,,,,,,
1638.2843,,3.91,27.81,,,,,,,,,,
1651.749,,2.19,15.57,,,,,,,,,,
