m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
100.6363,,2.92,0.04,2,,,,,,,,,
100.9257,,6759.81,100,1,,,,,,,,,
100.9733,,18.53,0.27,,,,,,,,,,
100.9963,,8.71,0.13,,,,,,,,,,
101.0649,,2.47,0.04,,,,,,,,,,
101.1038,,4.23,0.06,,,,,,,,,,
101.1194,,4.56,0.07,,,,,,,,,,
101.1554,,7.74,0.11,,,,,,,,,,
101.2582,,4.4,0.07,,,,,,,,,,
101.5981,,3.95,0.06,2,,,,,,,,,
101.8943,,2.88,0.04,,,,,,,,,,
101.9252,,223.84,3.31,1,,,,,,,,,
103.5118,,3.37,0.05,2,,,,,,,,,
104.4106,,3.59,0.05,2,,,,,,,,,
110.7643,,2.69,0.04,2,,,,,,,,,
115.5586,,2.45,0.04,2,,,,,,,,,
117.6785,,5.7,0.08,2,,,,,,,,,
117.9278,,65.97,0.98,,,,,,,,,,
118.0283,,3.59,0.05,,,,,,,,,,
125.6681,,2.77,0.04,2,,,,,,,,,
132.2257,,5.62,0.08,,,,,,,,,,
136.0004,,2.46,0.04,,,,,,,,,,
137.2579,,5.9,0.09,,,,,,,,,,
158.3775,,3.06,0.05,2,,,,,,,,,
162.6345,,2.82,0.04,2,,,,,,,,,
180.2426,,3.79,0.06,,,,,,,,,,
185.5315,,2.89,0.04,2,,,,,,,,,
187.1041,,4.67,0.07,,,,,,,,,,
187.3708,,2.62,0.04,2,,,,,,,,,
189.8853,,2.44,0.04,,,,,,,,,,
193.209,,3.52,0.05,,,,,,,,,,
221.0522,,4.79,0.07,,,,,,,,,,
224.8128,,5.45,0.08,,,,,,,,,,
302.8248,,3.65,0.05,,,,,,,,,,
316.2746,,3.01,0.04,,,,,,,,,,
341.9976,,6.57,0.1,,,,,,,,,,
345.0303,,4.56,0.07,,,,,,,,,,
349.7377,,4.95,0.07,,,,,,,,,,
356.0346,,5.03,0.07,,,,,,,,,,
361.8197,,2.67,0.04,,,,,,,,,,
368.8026,,3.02,0.04,,,,,,,,,,
376.6755,,7.92,0.12,,,,,,,,,,
379.3805,,2.92,0.04,,,,,,,,,,
384.5218,,2.81,0.04,2,,,,,,,,,
390.2822,,6.58,0.1,,,,,,,,,,
416.1443,,3.64,0.05,,,,,,,,,,
420.8325,,2.81,0.04,,,,,,,,,,
443.7225,,2.91,0.04,,,,,,,,,,
458.7671,,3.4,0.05,,,,,,,,,,
481.2448,,3.75,0.06,,,,,,,,,,
555.7447,,4.26,0.06,,,,,,,,,,
555.7693,,2.78,0.04,,,,,,,,,,
556.1058,,5.14,0.08,,,,,,,,,,
567.3164,,3.01,0.04,,,,,,,,,,
588.2737,,2.89,0.04,,,,,,,,,,
601.1249,,2.59,0.04,,,,,,,,,,
610.9919,,2.46,0.04,,,,,,,,,,
635.0867,,4.29,0.06,,,,,,,,,,
715.2817,,2.47,0.04,,,,,,,,,,
729.8023,,2.71,0.04,,,,,,,,,,
757.2684,,4.88,0.07,,,,,,,,,,
822.3619,,2.45,0.04,,,,,,,,,,
824.3011,,9.18,0.14,,,,,,,,,,
847.2816,,2.56,0.04,,,,,,,,,,
894.8738,,5.37,0.08,,,,,,,,,,
904.2243,,3.91,0.06,,,,,,,,,,
910.309,,2.78,0.04,,,,,,,,,,
930.5045,,3.69,0.05,,,,,,,,,,
938.144,,2.91,0.04,,,,,,,,,,
948.255,,3.81,0.06,,,,,,,,,,
964.3144,,2.66,0.04,,,,,,,,,,
984.8754,,3.78,0.06,,,,,,,,,,
999.226,,3.92,0.06,,,,,,,,,,
1001.8476,,2.55,0.04,,,,,,,,,,
1023.8207,,3.16,0.05,,,,,,,,,,
1024.9137,,6.53,0.1,,,,,,,,,,
1029.3918,,8.76,0.13,,,,,,,,,,
1046.4512,,2.65,0.04,,,,,,,,,,
1066.4081,,3.7,0.05,,,,,,,,,,
1172.4395,,7.84,0.12,,,,,,,,,,
1173.6844,,2.91,0.04,,,,,,,,,,
1208.8106,,3.37,0.05,,,,,,,,,,
1220.1597,,3.38,0.05,,,,,,,,,,
1249.2484,,2.63,0.04,,,,,,,,,,
1325.2571,,3.71,0.05,,,,,,,,,,
1375.8789,,2.69,0.04,,,,,,,,,,
1436.5671,,3.56,0.05,,,,,,,,,,
1446.8304,,9.44,0.14,,,,,,,,,,
1471.672,,2.5,0.04,,,,,,,,,,
1472.7961,,10.64,0.16,,,,,,,,,,
1490.0898,,2.68,0.04,,,,,,,,,,
1507.3726,,4.24,0.06,,,,,,,,,,
1518.314,,3.47,0.05,,,,,,,,,,
1568.2286,,2.92,0.04,,,,,,,,,,
1586.9554,,5.78,0.09,,,,,,,,,,
1592.4557,,2.61,0.04,,,,,,,,,,
1607.502,,3.09,0.05,,,,,,,,,,
1612.8441,,3.64,0.05,,,,,,,,,,
1615.8441,,4.14,0.06,,,,,,,,,,
1617.0967,,2.53,0.04,,,,,,,,,,
