m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
100.0849,,2.24,0.23,,,,,,,,,,
101.0238,,55,5.67,,,,,,,,,,
103.0045,,2.03,0.21,,,,,,,,,,
103.0161,,1.9,0.2,,,,,,,,,,
106.0446,,4.14,0.43,,,,,,,,,,
106.561,,2.52,0.26,2,,,,,,,,,
107.048,,10.31,1.06,,,,,,,,,,
107.0853,,2.57,0.27,,,,,,,,,,
110.5419,,2.17,0.22,2,,,,,,,,,
110.9884,,3.58,0.37,,,,,,,,,,
111.0083,,969.53,100,1,,,,,,,,,
111.0489,,2.57,0.26,,,,,,,,,,
111.2098,,4.12,0.42,,,,,,,,,,
112.0116,,5.71,0.59,1,,,,,,,,,
115.0025,,2.16,0.22,,,,,,,,,,
115.039,,15.78,1.63,,,,,,,,,,
116.7414,,2.19,0.23,2,,,,,,,,,
117.0186,,80.99,8.35,,,,,,,,,,
129.0186,,16.79,1.73,,,,,,,,,,
132.0326,,4.16,0.43,,,,,,,,,,
135.3671,,2.7,0.28,2,,,,,,,,,
138.3392,,1.78,0.18,2,,,,,,,,,
138.714,,2.8,0.29,2,,,,,,,,,
139.141,,1.71,0.18,,,,,,,,,,
143.2093,,3.34,0.34,,,,,,,,,,
147.0641,,2.22,0.23,,,,,,,,,,
154.7632,,2.09,0.22,2,,,,,,,,,
154.9982,,8.87,0.92,,,,,,,,,,
159.9967,,1.92,0.2,,,,,,,,,,
162.0526,,1.85,0.19,,,,,,,,,,
163.0656,,2.43,0.25,,,,,,,,,,
170.809,,3.06,0.32,,,,,,,,,,
173.0038,,7.66,0.79,,,,,,,,,,
175.1163,,6.95,0.72,,,,,,,,,,
176.0244,,2,0.21,,,,,,,,,,
176.0704,,1.79,0.18,,,,,,,,,,
183.428,,2.23,0.23,2,,,,,,,,,
183.7341,,2.69,0.28,2,,,,,,,,,
189.8141,,2.08,0.21,,,,,,,,,,
194.0486,,3.09,0.32,,,,,,,,,,
198.2749,,3.86,0.4,,,,,,,,,,
200.9351,,2.14,0.22,,,,,,,,,,
216.6902,,2.73,0.28,2,,,,,,,,,
233.1836,,2.9,0.3,,,,,,,,,,
233.8699,,6.06,0.62,,,,,,,,,,
240.1883,,3.52,0.36,,,,,,,,,,
242.6279,,1.83,0.19,2,,,,,,,,,
252.9867,,2.09,0.22,,,,,,,,,,
277.1223,,1.89,0.19,,,,,,,,,,
279.242,,3.43,0.35,,,,,,,,,,
292.3183,,3.93,0.41,,,,,,,,,,
323.9636,,1.86,0.19,,,,,,,,,,
332.8211,,1.97,0.2,,,,,,,,,,
334.8282,,2.8,0.29,,,,,,,,,,
343.54,,2.02,0.21,2,,,,,,,,,
353.4188,,2.58,0.27,,,,,,,,,,
375.5494,,3.96,0.41,2,,,,,,,,,
407.6197,,1.88,0.19,,,,,,,,,,
478.2699,,3.15,0.32,,,,,,,,,,
523.0072,,3.01,0.31,,,,,,,,,,
540.0067,,2.32,0.24,,,,,,,,,,
573.9877,,2.86,0.29,,,,,,,,,,
598.439,,2.46,0.25,,,,,,,,,,
649.0985,,1.93,0.2,,,,,,,,,,
655.8829,,4.15,0.43,,,,,,,,,,
692.5891,,1.97,0.2,,,,,,,,,,
756.4312,,2.59,0.27,,,,,,,,,,
802.7417,,1.88,0.19,,,,,,,,,,
809.5635,,1.81,0.19,,,,,,,,,,
854.6023,,4.84,0.5,,,,,,,,,,
868.2275,,1.75,0.18,,,,,,,,,,
880.4113,,3.28,0.34,,,,,,,,,,
905.0336,,2.81,0.29,,,,,,,,,,
941.3491,,2.93,0.3,,,,,,,,,,
942.0361,,3,0.31,,,,,,,,,,
954.2492,,2.57,0.27,,,,,,,,,,
983.9029,,2.01,0.21,,,,,,,,,,
995.9189,,5.02,0.52,,,,,,,,,,
1043.8025,,5.64,0.58,,,,,,,,,,
1047.1119,,1.89,0.19,,,,,,,,,,
1055.561,,1.73,0.18,,,,,,,,,,
1069.8671,,2.26,0.23,,,,,,,,,,
1159.8168,,3.81,0.39,,,,,,,,,,
1161.8787,,1.95,0.2,,,,,,,,,,
1187.7387,,2.76,0.28,,,,,,,,,,
1215.7584,,3.22,0.33,,,,,,,,,,
1235.6978,,5.14,0.53,,,,,,,,,,
1318.6902,,4.21,0.43,,,,,,,,,,
1342.7744,,1.86,0.19,,,,,,,,,,
1344.3054,,2.58,0.27,,,,,,,,,,
1359.0856,,2.22,0.23,,,,,,,,,,
1439.417,,1.89,0.19,,,,,,,,,,
1577.6574,,1.8,0.19,,,,,,,,,,
1596.7843,,2.61,0.27,,,,,,,,,,
1625.3206,,1.65,0.17,,,,,,,,,,
1643.3739,,4.79,0.49,,,,,,,,,,
1644.6213,,2.81,0.29,,,,,,,,,,
1646.4464,,2.36,0.24,,,,,,,,,,
1653.3285,,1.72,0.18,,,,,,,,,,
1660.5795,,2.35,0.24,,,,,,,,,,
