m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
100.1907,,3.53,2.26,,,,,,,,,,
100.2172,,2.72,1.74,,,,,,,,,,
100.4647,,3.04,1.95,2,,,,,,,,,
100.7195,,3.63,2.32,2,,,,,,,,,
100.9094,,4.86,3.11,,,,,,,,,,
100.9333,,156.15,100,,,,,,,,,,
100.9746,,2.5,1.6,,,,,,,,,,
101.9239,,47.91,30.68,,,,,,,,,,
102.2587,,3.8,2.43,,,,,,,,,,
109.6307,,2.67,1.71,2,,,,,,,,,
110.2404,,2.98,1.91,,,,,,,,,,
110.51,,2.41,1.54,2,,,,,,,,,
115.9512,,3.25,2.08,,,,,,,,,,
133.0768,,4.41,2.82,,,,,,,,,,
133.1906,,2.95,1.89,,,,,,,,,,
166.9999,,25.35,16.23,,,,,,,,,,
177.4205,,4.64,2.97,2,,,,,,,,,
183.6486,,3.26,2.09,2,,,,,,,,,
185.3084,,2.49,1.59,2,,,,,,,,,
189.9384,,5.83,3.73,,,,,,,,,,
192.4929,,2.57,1.64,2,,,,,,,,,
202.2822,,2.56,1.64,,,,,,,,,,
208.799,,3.38,2.16,,,,,,,,,,
220.5064,,3.25,2.08,2,,,,,,,,,
230.3317,,2.44,1.56,2,,,,,,,,,
238.0535,,5.17,3.31,,,,,,,,,,
243.9648,,2.63,1.69,,,,,,,,,,
246.554,,4.25,2.72,2,,,,,,,,,
252.4893,,3.25,2.08,2,,,,,,,,,
257.7063,,4.28,2.74,2,,,,,,,,,
259.4013,,2.41,1.54,2,,,,,,,,,
260.7482,,2.47,1.58,,,,,,,,,,
270.3157,,3.47,2.23,,,,,,,,,,
273.4109,,5.46,3.5,2,,,,,,,,,
274.5166,,5.39,3.45,2,,,,,,,,,
275.2842,,6.81,4.36,,,,,,,,,,
287.4863,,2.88,1.84,2,,,,,,,,,
296.334,,2.65,1.7,,,,,,,,,,
296.5864,,2.52,1.61,2,,,,,,,,,
297.9971,,6.69,4.28,,,,,,,,,,
306.7849,,3.05,1.95,,,,,,,,,,
312.0441,,3.25,2.08,,,,,,,,,,
317.4968,,6.12,3.92,2,,,,,,,,,
323.2231,,2.72,1.74,,,,,,,,,,
325.4347,,2.65,1.69,2,,,,,,,,,
332.2269,,3.7,2.37,,,,,,,,,,
338.5364,,4.18,2.68,2,,,,,,,,,
339.9916,,2.65,1.7,,,,,,,,,,
377.8351,,4.89,3.13,,,,,,,,,,
389.6442,,4.88,3.12,,,,,,,,,,
435.815,,3.68,2.36,,,,,,,,,,
439.4046,,2.63,1.68,,,,,,,,,,
458.7731,,3.21,2.06,,,,,,,,,,
458.972,,3.32,2.13,,,,,,,,,,
461.6029,,3,1.92,,,,,,,,,,
489.6292,,2.72,1.74,,,,,,,,,,
496.9744,,3.71,2.37,,,,,,,,,,
500.4149,,15.01,9.61,,,,,,,,,,
504.6648,,3.25,2.08,,,,,,,,,,
506.8643,,3.25,2.08,,,,,,,,,,
509.6107,,2.45,1.57,,,,,,,,,,
515.9003,,2.41,1.54,,,,,,,,,,
529.2593,,3.39,2.17,,,,,,,,,,
542.8702,,4.66,2.98,,,,,,,,,,
564.129,,4.17,2.67,,,,,,,,,,
575.4595,,2.65,1.7,,,,,,,,,,
587.8835,,3.25,2.08,,,,,,,,,,
612.347,,12.45,7.97,,,,,,,,,,
619.662,,2.64,1.69,,,,,,,,,,
657.5234,,3.15,2.02,,,,,,,,,,
689.8091,,2.52,1.61,,,,,,,,,,
725.1363,,7.06,4.52,,,,,,,,,,
746.7748,,6.52,4.17,,,,,,,,,,
755.284,,3.07,1.96,,,,,,,,,,
793.4623,,4.03,2.58,,,,,,,,,,
858.2971,,3.26,2.09,,,,,,,,,,
861.0017,,6.4,4.1,,,,,,,,,,
899.6062,,3.54,2.26,,,,,,,,,,
920.2552,,6.97,4.47,,,,,,,,,,
963.8922,,2.78,1.78,,,,,,,,,,
985.9747,,3.1,1.99,,,,,,,,,,
992.2601,,6.99,4.48,,,,,,,,,,
993.3455,,3.03,1.94,,,,,,,,,,
1033.4754,,7.05,4.51,,,,,,,,,,
1063.8041,,2.59,1.66,,,,,,,,,,
1117.498,,3.61,2.31,,,,,,,,,,
1132.6688,,3.01,1.93,,,,,,,,,,
1143.4243,,3.51,2.25,,,,,,,,,,
1169.202,,2.79,1.79,,,,,,,,,,
1202.8203,,3.55,2.27,,,,,,,,,,
1207.0956,,2.51,1.61,,,,,,,,,,
1222.3076,,4.86,3.11,,,,,,,,,,
1277.4317,,7.62,4.88,,,,,,,,,,
1324.0796,,2.4,1.54,,,,,,,,,,
1352.1887,,4.52,2.9,,,,,,,,,,
1452.1458,,3.08,1.97,,,,,,,,,,
1542.2719,,6.52,4.18,,,,,,,,,,
1554.719,,7.46,4.78,,,,,,,,,,
1554.7776,,2.81,1.8,,,,,,,,,,
1632.5317,,2.65,1.7,,,,,,,,,,
