m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
102.1814,,5.52,62.46,,,,,,,,,,
107.9028,,2.69,30.42,,,,,,,,,,
120.1874,,3.58,40.49,,,,,,,,,,
121.7356,,2.12,23.95,2,,,,,,,,,
125.1518,,3.94,44.59,,,,,,,,,,
133.2724,,2.3,26.02,,,,,,,,,,
134.83,,2.57,29.05,,,,,,,,,,
138.1839,,4.11,46.49,,,,,,,,,,
150.1378,,4.05,45.84,,,,,,,,,,
159.2986,,4.41,49.91,,,,,,,,,,
159.7726,,2.11,23.82,,,,,,,,,,
162.1308,,4.44,50.27,,,,,,,,,,
166.6407,,3.03,34.33,2,,,,,,,,,
167.9801,,5.9,66.71,,,,,,,,,,
173.9317,,3.59,40.6,,,,,,,,,,
179.111,,3.51,39.71,,,,,,,,,,
186.9246,,2.11,23.82,,,,,,,,,,
191.6631,,2.32,26.25,2,,,,,,,,,
202.7129,,2.3,26.07,2,,,,,,,,,
204.6054,,2.51,28.4,2,,,,,,,,,
207.5302,,2.96,33.46,2,,,,,,,,,
216.5136,,2.3,26.07,2,,,,,,,,,
217.6072,,8.84,100,2,,,,,,,,,
220.8681,,2.31,26.16,,,,,,,,,,
231.9229,,2.57,29.06,,,,,,,,,,
233.9633,,2.4,27.2,,,,,,,,,,
234.9767,,3.37,38.14,,,,,,,,,,
254.6657,,2.52,28.55,2,,,,,,,,,
262.5282,,2.3,26.02,2,,,,,,,,,
303.2114,,4.7,53.13,,,,,,,,,,
306.6689,,5.51,62.36,2,,,,,,,,,
310.7909,,4.3,48.68,,,,,,,,,,
311.227,,3.21,36.3,,,,,,,,,,
318.7009,,2.36,26.75,,,,,,,,,,
338.8615,,2.96,33.52,,,,,,,,,,
355.8512,,2.21,24.98,,,,,,,,,,
360.4435,,2.82,31.92,2,,,,,,,,,
365.7216,,2.11,23.83,,,,,,,,,,
383.1237,,2.51,28.39,,,,,,,,,,
413.2211,,7.36,83.27,,,,,,,,,,
425.9445,,3.11,35.22,,,,,,,,,,
429.5954,,3.3,37.38,,,,,,,,,,
447.2472,,2.19,24.78,,,,,,,,,,
449.0383,,6.8,76.99,,,,,,,,,,
455.4629,,2.21,24.97,,,,,,,,,,
470.7862,,2.87,32.45,,,,,,,,,,
479.4583,,3.46,39.11,,,,,,,,,,
515.9073,,3.91,44.29,,,,,,,,,,
517.4765,,2.73,30.87,,,,,,,,,,
525.1969,,4.02,45.46,,,,,,,,,,
527.2511,,3.94,44.59,,,,,,,,,,
562.1375,,3.29,37.22,,,,,,,,,,
573.5645,,2.36,26.73,,,,,,,,,,
605.1082,,8.24,93.29,,,,,,,,,,
627.5212,,2.97,33.56,,,,,,,,,,
680.9968,,4.37,49.47,,,,,,,,,,
705.5449,,2.47,27.92,,,,,,,,,,
724.5973,,2.8,31.69,,,,,,,,,,
741.683,,3.22,36.46,2,,,,,,,,,
742.1979,,3.11,35.15,2,,,,,,,,,
750.5474,,2.21,24.97,,,,,,,,,,
775.1752,,3.03,34.27,,,,,,,,,,
785.7073,,6.68,75.56,,,,,,,,,,
791.9859,,2.65,30.03,,,,,,,,,,
818.3614,,4.11,46.52,,,,,,,,,,
824.8363,,3.2,36.24,,,,,,,,,,
841.756,,3.3,37.34,,,,,,,,,,
899.1019,,2.12,23.95,,,,,,,,,,
924.7776,,6.56,74.26,,,,,,,,,,
945.2545,,2.85,32.29,,,,,,,,,,
962.5079,,2.22,25.15,,,,,,,,,,
1034.2905,,2.41,27.25,,,,,,,,,,
1052.9194,,2.35,26.59,,,,,,,,,,
1083.3733,,2.91,32.91,,,,,,,,,,
1093.0202,,3.31,37.5,,,,,,,,,,
1144.5067,,2.21,25.01,,,,,,,,,,
1145.1311,,2.91,32.92,,,,,,,,,,
1166.2765,,2.57,29.05,,,,,,,,,,
1179.1963,,2.85,32.24,,,,,,,,,,
1208.4615,,2.38,26.87,,,,,,,,,,
1246.1655,,2.95,33.35,,,,,,,,,,
1255.2536,,2.5,28.29,,,,,,,,,,
1255.3546,,2.92,32.99,,,,,,,,,,
1294.7996,,4.7,53.22,,,,,,,,,,
1320.1384,,2.52,28.52,,,,,,,,,,
1320.8048,,2.71,30.61,,,,,,,,,,
1343.0791,,3.71,42.03,,,,,,,,,,
1386.5196,,3.3,37.39,,,,,,,,,,
1421.2773,,3.47,39.25,,,,,,,,,,
1427.8301,,3.41,38.58,,,,,,,,,,
1459.5693,,2.69,30.42,,,,,,,,,,
1485.8777,,3.8,43,,,,,,,,,,
1506.0099,,3.52,39.78,,,,,,,,,,
1529.4569,,5.09,57.54,,,,,,,,,,
1610.733,,3.27,36.95,,,,,,,,,,
1635.5842,,2.1,23.79,,,,,,,,,,
1646.2151,,2.12,24,,,,,,,,,,
1648.3907,,2.46,27.84,,,,,,,,,,
1657.6031,,3.43,38.83,,,,,,,,,,
1663.546,,2.26,25.53,,,,,,,,,,
