m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
100.0399,,45.56,0.34,,,,,,,,,,
100.0767,,1174.61,8.87,,,,,,,,,,
100.1168,,6.17,0.05,,,,,,,,,,
100.2976,,4.07,0.03,,,,,,,,,,
101.0084,,3.82,0.03,,,,,,,,,,
101.0249,,29.33,0.22,,,,,,,,,,
101.1429,,7.86,0.06,,,,,,,,,,
102.0562,,13240.77,100,,,,,,,,,,
102.1102,,10.37,0.08,,,,,,,,,,
102.1584,,5.73,0.04,,,,,,,,,,
102.1746,,4.51,0.03,,,,,,,,,,
102.292,,4.23,0.03,,,,,,,,,,
102.3356,,4.38,0.03,2,,,,,,,,,
102.3506,,7.34,0.06,2,,,,,,,,,
102.3682,,6.33,0.05,2,,,,,,,,,
102.4144,,4.57,0.03,2,,,,,,,,,
102.4362,,7.17,0.05,2,,,,,,,,,
102.4944,,3.87,0.03,2,,,,,,,,,
102.6307,,6.25,0.05,2,,,,,,,,,
102.9063,,4.27,0.03,,,,,,,,,,
102.9817,,5.84,0.04,,,,,,,,,,
103.06,,16.52,0.12,,,,,,,,,,
103.8739,,4.54,0.03,,,,,,,,,,
106.0644,,10.54,0.08,,,,,,,,,,
108.0462,,11.65,0.09,,,,,,,,,,
110.0248,,7.85,0.06,,,,,,,,,,
116.0346,,7.76,0.06,,,,,,,,,,
120.7678,,5.17,0.04,2,,,,,,,,,
121.7693,,4.06,0.03,2,,,,,,,,,
126.0188,,4.23,0.03,,,,,,,,,,
126.0553,,74.55,0.56,,,,,,,,,,
128.0353,,2449.54,18.5,,,,,,,,,,
128.0902,,9.11,0.07,,,,,,,,,,
128.2,,5.18,0.04,,,,,,,,,,
128.2314,,4.5,0.03,,,,,,,,,,
128.5667,,4.18,0.03,2,,,,,,,,,
138.7711,,4.93,0.04,,,,,,,,,,
144.0666,,26.25,0.2,,,,,,,,,,
146.0447,,60.63,0.46,,,,,,,,,,
146.7077,,4.17,0.03,2,,,,,,,,,
173.1026,,6.19,0.05,,,,,,,,,,
174.1149,,6.43,0.05,,,,,,,,,,
182.5498,,5.7,0.04,2,,,,,,,,,
190.0622,,4.04,0.03,,,,,,,,,,
199.821,,3.97,0.03,,,,,,,,,,
202.5884,,4.1,0.03,2,,,,,,,,,
223.5264,,4.59,0.03,2,,,,,,,,,
241.8656,,7.71,0.06,,,,,,,,,,
267.9477,,5.36,0.04,,,,,,,,,,
269.8425,,7,0.05,,,,,,,,,,
281.8347,,5.83,0.04,,,,,,,,,,
314.2475,,4.81,0.04,,,,,,,,,,
316.0131,,7.44,0.06,,,,,,,,,,
320.1493,,7.44,0.06,,,,,,,,,,
354.8149,,4.39,0.03,,,,,,,,,,
404.5093,,9.37,0.07,2,,,,,,,,,
408.1703,,6.28,0.05,,,,,,,,,,
429.3505,,4.17,0.03,,,,,,,,,,
436.4802,,4.59,0.03,,,,,,,,,,
437.2622,,4.88,0.04,,,,,,,,,,
441.5608,,5.13,0.04,2,,,,,,,,,
451.7772,,5.18,0.04,,,,,,,,,,
452.1176,,4.89,0.04,,,,,,,,,,
475.199,,7.11,0.05,,,,,,,,,,
494.1101,,5.1,0.04,,,,,,,,,,
503.1725,,5.25,0.04,,,,,,,,,,
562.5822,,8.33,0.06,,,,,,,,,,
569.6882,,4.31,0.03,,,,,,,,,,
576.1373,,7.21,0.05,,,,,,,,,,
602.9159,,4.86,0.04,,,,,,,,,,
702.2109,,7.91,0.06,,,,,,,,,,
711.8671,,4.5,0.03,,,,,,,,,,
720.9185,,6.83,0.05,,,,,,,,,,
739.2179,,4.42,0.03,,,,,,,,,,
739.9714,,4.55,0.03,,,,,,,,,,
748.06,,6.17,0.05,,,,,,,,,,
815.7349,,8.57,0.06,,,,,,,,,,
827.0988,,4.73,0.04,,,,,,,,,,
872.109,,6.29,0.05,,,,,,,,,,
911.1945,,9.03,0.07,,,,,,,,,,
941.9187,,5.55,0.04,,,,,,,,,,
944.1954,,4.02,0.03,,,,,,,,,,
960.929,,8.47,0.06,,,,,,,,,,
961.2233,,6.33,0.05,,,,,,,,,,
966.1099,,9.78,0.07,,,,,,,,,,
1033.9596,,4.67,0.04,,,,,,,,,,
1103.5145,,3.84,0.03,,,,,,,,,,
1170.1213,,7.79,0.06,,,,,,,,,,
1178.0019,,17.99,0.14,,,,,,,,,,
1234.6094,,6.53,0.05,,,,,,,,,,
1287.0111,,3.83,0.03,,,,,,,,,,
1464.8127,,9.12,0.07,,,,,,,,,,
1485.6533,,4.18,0.03,,,,,,,,,,
1490.891,,4.28,0.03,,,,,,,,,,
1496.0966,,9.93,0.07,,,,,,,,,,
1523.8265,,4,0.03,,,,,,,,,,
1541.0166,,5.75,0.04,,,,,,,,,,
1573.3098,,6.01,0.05,,,,,,,,,,
1695.4099,,5.71,0.04,,,,,,,,,,
1695.7486,,6.23,0.05,,,,,,,,,,
