"Bucket label","RT","m/z","Name","Formula","IH_Met_Vial12_BLANK01_12_1_11301","IH_Met_Vial57_027_57_1_11328","IH_Met_Vial58_028_58_1_11329","IH_Met_Vial59_029_59_1_11330","IH_Met_Vial60_030_60_1_11331","IH_Met_Vial43_031_43_1_11332","IH_Met_Vial44_032_44_1_11333","IH_Met_Vial45_033_45_1_11334","IH_Met_Vial46_034_46_1_11335","IH_Met_Vial47_035_47_1_11336","IH_Met_Vial48_036_48_1_11337","IH_Met_Vial31_037_31_1_11338","IH_Met_Vial32_038_32_1_11339","IH_Met_Vial33_039_33_1_11340","IH_Met_Vial34_040_34_1_11341","IH_Met_Vial35_041_35_1_11342","IH_Met_Vial36_042_36_1_11343","IH_Met_Vial19_043_19_1_11344","IH_Met_Vial20_044_20_1_11345","IH_Met_Vial21_045_21_1_11346","IH_Met_Vial22_046_22_1_11347","IH_Met_Vial23_047_23_1_11348","IH_Met_Vial24_048_24_1_11349","IH_Met_Vial7_049_7_1_11350","IH_Met_Vial8_050_8_1_11351","IH_Met_Vial9_051_9_1_11352","IH_Met_Vial10_052_10_1_11353","IH_Met_Vial12_BLANK02_12_1_11354"
"Sample",,,,,"BLANK","GLC _ ASP","GLC _ GLN","GLC _ AMN","GAL _ ASP","GAL _ GLN","GAL _ AMN","GLC _ ASP","GLC _ GLN","GLC _ AMN","GAL _ ASP","GAL _ GLN","GAL _ AMN","GLC _ ASP","GLC _ GLN","GLC _ AMN","GAL _ ASP","GAL _ GLN","GAL _ AMN","GLC _ ASP","GLC _ GLN","GLC _ AMN","GAL _ ASP","GAL _ GLN","GAL _ AMN","CTRL","CTRL","BLANK"
"127.01123 Da 38.56 s",0.64,128.01851,,,0.0,356.2529602050781,820.4556884765625,14258.5400390625,250.902099609375,0.0,15502.0615234375,540.449951171875,437.68939208984375,0.0,302.4442138671875,283.0827331542969,115.13005828857422,719.7227783203125,289.9949951171875,135.9419708251953,363.2779846191406,325.3205261230469,83.7763900756836,665.8359375,26298.75390625,85.29965209960938,314.5830383300781,288.71502685546875,17990.005859375,7441.6845703125,2629.44091796875,0.0
"222.99748 Da 38.59 s",0.64,224.00476,,,0.0,0.0,0.0,2970.381591796875,0.0,0.0,3691.018310546875,433.34405517578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8250.697265625,205.9955596923828,0.0,0.0,5148.21337890625,547.34619140625,0.0,0.0
"253.98396 Da 38.68 s",0.64,127.99926,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21649.625,0.0,19162.041015625,0.0,0.0,0.0,0.0,0.0,0.0,19763.458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"95.96619 Da 39.00 s",0.65,96.97347,,,0.0,3221.509033203125,3750.456787109375,1555.33544921875,3831.533447265625,4765.48828125,1500.1593017578125,3433.998046875,2404.0478515625,1354.308837890625,2062.452880859375,1968.4822998046875,876.7055053710938,3542.02685546875,2171.669189453125,1472.771240234375,2890.177978515625,2202.817138671875,2176.69482421875,3039.953857421875,2549.61767578125,2511.16650390625,2080.861328125,2153.339111328125,1411.9908447265625,748.5775146484375,244.27920532226562,0.0
"363.85263 Da 39.25 s",0.65,182.93359,,,0.0,13582.6650390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16856.17578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7834.05908203125,0.0,0.0,0.0,0.0
"141.06846 Da 41.23 s",0.69,142.07574,,,0.0,369.3946228027344,518.531005859375,0.0,1726.5047607421875,135.66416931152344,0.0,815.5040283203125,0.0,663.899169921875,3002.935791015625,641.8682250976562,0.0,641.2947998046875,312.18206787109375,699.8807983398438,3042.48828125,199.88296508789062,255.31060791015625,615.9896850585938,0.0,640.4541015625,482.61785888671875,211.45582580566406,0.0,0.0,0.0,0.0
"355.84318 Da 41.69 s",0.69,356.85046,,,0.0,1548.7164306640625,1901.9180908203125,0.0,1758.5379638671875,2104.406982421875,0.0,1771.767578125,2081.06884765625,454.0076904296875,1191.959228515625,2406.52880859375,122.98468780517578,2090.720703125,2081.89453125,68.79572296142578,1712.591064453125,2747.270263671875,43.836021423339844,1757.4178466796875,0.0,189.44873046875,1419.883056640625,2500.333251953125,0.0,0.0,0.0,304.2558898925781
"121.91487 Da 42.09 s",0.70,122.92215,,,0.0,0.0,0.0,31992.935546875,0.0,0.0,27437.591796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.450929641723633,0.0,83.99388122558594,0.0,0.0,0.0,29773.45703125,0.0,0.0,47.090057373046875,29840.017578125,6490.2802734375,6427.46484375,0.0
"174.12148 Da 44.13 s",0.74,175.12876,,,0.0,0.0,0.0,40784.48828125,0.0,0.0,21627.908203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30542.12109375,0.0,0.0,0.0,10176.7333984375,874.1541748046875,0.0,0.0
